LONGITUDE,LATITUDE,id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,geometry
-79.39657308,43.65866358,7631649,18553,BP-27647,214-220,College St,College St,North,Ross St,East,,11,,Ring,Existing,0,313142.055,4835418.46,"{u'type': u'Point', u'coordinates': (-79.396573085, 43.658663578)}"
-79.39715379,43.65017187,7631650,18554,BP-27650,194,Spadina Ave,Spadina Ave,West,Phoebe St,West,,10,,Ring,Existing,0,313096.386,4834475.02,"{u'type': u'Point', u'coordinates': (-79.3971537937, 43.6501718643)}"
-79.39764379,43.65143059,7631651,18555,BP-27654,246,Spadina Ave,Spadina Ave,West,Grange Ave,South,,10,Chinatown,Ring,Existing,0,313056.686,4834614.808,"{u'type': u'Point', u'coordinates': (-79.3976437974, 43.6514305862)}"
-79.39923331,43.65541609,7631652,18556,BP-27667,388,Spadina Ave,Spadina Ave,West,Baldwin St,North,,11,Chinatown,Ring,Existing,0,312927.928,4835057.418,"{u'type': u'Point', u'coordinates': (-79.3992333165, 43.6554160885)}"
-79.39872151,43.65414655,7631653,18557,BP-27680,340,Spadina Ave,Spadina Ave,West,St Andrew St,South,,11,Chinatown,Ring,Existing,0,312969.383,4834916.429,"{u'type': u'Point', u'coordinates': (-79.3987215082, 43.6541465443)}"
-79.39726198,43.65054042,7631654,18558,BP-27683,206,Spadina Ave,Spadina Ave,West,Sullivan St,South,,10,,Ring,Existing,0,313087.608,4834515.954,"{u'type': u'Point', u'coordinates': (-79.397261982, 43.6505404233)}"
-79.39949884,43.65608731,7631655,18559,BP-27684,404,Spadina Ave,Spadina Ave,West,Cecil St,West,,11,Chinatown,Ring,Existing,0,312906.421,4835131.961,"{u'type': u'Point', u'coordinates': (-79.3994988319, 43.65608731)}"
-79.41479606,43.65495678,7631656,18560,BP-27720,619,College St,College St,South,Ln 1 W Clinton N Gore,North,,11,Little Italy,Ring,Existing,0,311672.676,4835004.985,"{u'type': u'Point', u'coordinates': (-79.4147960594, 43.6549567795)}"
-79.41180231,43.65573216,7631657,18561,BP-27724,546,College St,College St,North,Euclid Ave,West,,11,Little Italy,Ring,Existing,0,311914.065,4835091.378,"{u'type': u'Point', u'coordinates': (-79.4118023067, 43.6557321628)}"
-79.41743483,43.65527262,7631658,18562,BP-27741,706,College St,College St,North,Montrose Ave,East,,11,Little Italy,Ring,Existing,0,311459.794,4835039.858,"{u'type': u'Point', u'coordinates': (-79.4174348294, 43.65527262)}"
-79.41435459,43.65517971,7631659,18563,BP-27758,602,College St,College St,North,Clinton St,West,,11,Little Italy,Ring,Existing,0,311708.26,4835029.788,"{u'type': u'Point', u'coordinates': (-79.4143545903, 43.6551797102)}"
